full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,145768,145768,23518,115,115,9,https://github.com/anthropics/claude-code
claude-code-best/claude-code,22603,22603,16487,5,5,1,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2304,2304,5909,0,0,0,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,77027,77027,12389,36,36,5,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,3342,3342,3668,3,3,-1,https://github.com/codeaashu/claude-code
Alishahryar1/free-claude-code,55268,55268,8834,28,28,3,https://github.com/Alishahryar1/free-claude-code
tanbiralam/claude-code,2264,2264,2790,1,1,0,https://github.com/tanbiralam/claude-code
ChinaSiro/claude-code-sourcemap,9681,9681,14600,1,1,-2,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1791,1791,2610,1,1,-1,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,105,105,7128,0,0,-1,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,54202,54202,4720,14,14,1,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,66031,66031,6552,28,28,2,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30768,30768,3495,4,4,1,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37276,37276,3135,3,3,2,https://github.com/musistudio/claude-code-router
Onewon/claude-code,182,182,2214,0,0,-2,https://github.com/Onewon/claude-code
LING71671/Open-ClaudeCode,952,952,1219,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,25163,25163,3598,10,10,3,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,25145,25145,2904,9,9,1,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3295,3295,3806,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8895,8895,2144,3,3,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2339,2339,3526,0,0,0,https://github.com/ponponon/claude_code_src
