full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,147780,147780,24195,40,40,38,https://github.com/anthropics/claude-code
claude-code-best/claude-code,22714,22714,16497,-1,-1,0,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2311,2311,5910,0,0,0,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,77513,77513,12468,16,16,0,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,3352,3352,3672,0,0,0,https://github.com/codeaashu/claude-code
Alishahryar1/free-claude-code,55772,55772,8917,37,37,0,https://github.com/Alishahryar1/free-claude-code
tanbiralam/claude-code,2278,2278,2796,1,1,2,https://github.com/tanbiralam/claude-code
ChinaSiro/claude-code-sourcemap,9686,9686,14597,0,0,-1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1795,1795,2611,0,0,-1,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,106,106,7125,0,0,0,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,54500,54500,4750,18,18,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,66280,66280,6587,13,13,2,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,31416,31416,3569,100,100,13,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37398,37398,3146,4,4,-1,https://github.com/musistudio/claude-code-router
Onewon/claude-code,182,182,2212,0,0,0,https://github.com/Onewon/claude-code
LING71671/Open-ClaudeCode,959,959,1219,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,25378,25378,3621,8,8,2,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,25281,25281,2916,4,4,-2,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3300,3300,3810,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8931,8931,2152,4,4,-1,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2338,2338,3526,0,0,0,https://github.com/ponponon/claude_code_src
techjarves/ClaudeCode-Portable,1511,1511,496,3,3,0,https://github.com/techjarves/ClaudeCode-Portable
Piebald-AI/claude-code-system-prompts,12750,12750,2044,1,1,1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3950,3950,2065,0,0,-1,https://github.com/liuup/claude-code-analysis
ochamber/claude-code,4,4,4808,0,0,0,https://github.com/ochamber/claude-code
T-Lab-CUHKSZ/claude-code,329,329,608,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
pedrohcgs/claude-code-my-workflow,1598,1598,3053,0,0,3,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,10129,10129,818,-1,-1,0,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10025,10025,1222,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9641,9641,722,0,0,0,https://github.com/frankbria/ralph-claude-code
lintsinghua/claude-code-book,4273,4273,837,-1,-1,0,https://github.com/lintsinghua/claude-code-book
chauncygu/collection-claude-code-source-code,2839,2839,2458,0,0,1,https://github.com/chauncygu/collection-claude-code-source-code
